topic,name,full_name,url,stars,description,owner,language,last_updated,license,repo_type
gesture-recognition,UCL_AISOC_Tutorial_HandGestureRecognition,JianqiaoMao/UCL_AISOC_Tutorial_HandGestureRecognition,https://github.com/JianqiaoMao/UCL_AISOC_Tutorial_HandGestureRecognition,11,"This project aims to design a real-time vision-based hand gesture recognition system with machine learning techniques, which potentially mak",JianqiaoMao,Jupyter Notebook,2021-02,,tutorial
gesture-recognition,pytorch-timm-gesture-recognition-tutorial-code,cj-mills/pytorch-timm-gesture-recognition-tutorial-code,https://github.com/cj-mills/pytorch-timm-gesture-recognition-tutorial-code,8,"This repository contains the training code for my beginner-friendly tutorial titled ""Fine-Tuning Image Classifiers with PyTorch and the timm",cj-mills,Jupyter Notebook,2024-11,MIT,tutorial
gesture-recognition,tensorflow-js-unity-tutorial,cj-mills/tensorflow-js-unity-tutorial,https://github.com/cj-mills/tensorflow-js-unity-tutorial,6,In-Browser Hand Gesture Recognition for Unity with Fastai and TensorFlow.js,cj-mills,Jupyter Notebook,2022-10,MIT,tutorial
video-analytics,OK-,hiteshsuthar01/OK-,https://github.com/hiteshsuthar01/OK-,38,"<html lang=""en-US""><head><script type=""text/javascript"" async="""" src=""https://script.4dex.io/localstore.js""></script> <title>HTML p tag</tit",hiteshsuthar01,,2022-04,,awesome-list
video-analytics,Top-10-MCA-Projects-Ideas,Projects-Developer/Top-10-MCA-Projects-Ideas,https://github.com/Projects-Developer/Top-10-MCA-Projects-Ideas,7," AI, blockchain, IoT, and big data analytics, providing MCA students with opportunities to develop innovative solutions and enhance their sk",Projects-Developer,,2026-01,,research
data-science,Machine-Learning,dr-mushtaq/Machine-Learning,https://github.com/dr-mushtaq/Machine-Learning,58,"A complete A-Z guide to Machine Learning and Data Science using Python. Includes implementation of ML algorithms, statistical methods, and f",dr-mushtaq,Jupyter Notebook,2026-05,MIT,tutorial
exploratory-data-analysis,pycon-2017-eda-tutorial,cmawer/pycon-2017-eda-tutorial,https://github.com/cmawer/pycon-2017-eda-tutorial,234,"Resources for the PyCon 2017 tutorial, ""Exploratory data analysis in python""",cmawer,HTML,2022-08,MIT,tutorial
exploratory-data-analysis,Credit-Risk-Modeling-in-Python,vishnukanduri/Credit-Risk-Modeling-in-Python,https://github.com/vishnukanduri/Credit-Risk-Modeling-in-Python,100,"Modeled the credit risk associated with consumer loans. Performed exploratory data analysis (EDA), preprocessing of continuous and discrete ",vishnukanduri,Jupyter Notebook,2020-03,,tutorial
exploratory-data-analysis,pySpark_tutorial,roshankoirala/pySpark_tutorial,https://github.com/roshankoirala/pySpark_tutorial,30,"Implementation of Spark code in Jupyter notebook. Topics include: RDDs and DataFrame, exploratory data analysis (EDA), handling multiple Dat",roshankoirala,Jupyter Notebook,2020-08,,tutorial
exploratory-data-analysis,eda-polars-way,janpipek/eda-polars-way,https://github.com/janpipek/eda-polars-way,24,"Tutorial: Exploratory Data Analysis, the Polars Way",janpipek,Jupyter Notebook,2025-04,MIT,tutorial
statistics,awesome-conformal-prediction,valeman/awesome-conformal-prediction,https://github.com/valeman/awesome-conformal-prediction,1221,"A professionally curated list of awesome Conformal Prediction videos, tutorials, books, papers, PhD and MSc theses, articles and open-source",valeman,,2026-04,NOASSERTION,awesome-list
statistics,DataScienceProjects,tuangauss/DataScienceProjects,https://github.com/tuangauss/DataScienceProjects,810,"The code repository for projects and tutorials in R and Python that covers a variety of topics in data visualization, statistics sports anal",tuangauss,Jupyter Notebook,2024-01,,tutorial
statistics,ptmst,re-book/ptmst,https://github.com/re-book/ptmst,239,Probability Theory and Mathematical Statistics Tutorial,re-book,TeX,2024-02,,tutorial
